stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After Emission,emission,B,19,19.0,80.0,2,|V_780>,0.0008150424757205792
After Emission,emission,B,19,19.0,80.0,3,|H_1517>,9.049657248918906e-33
After Emission,emission,B,19,19.0,80.0,4,|V_1517>,6.865261072532161e-33
After Emission,emission,B,20,20.0,79.0,0,|vac>,0.9980552742419936
After Emission,emission,B,20,20.0,79.0,1,|H_780>,0.0009723628790032522
After Emission,emission,B,20,20.0,79.0,2,|V_780>,0.0009723628790032565
After Emission,emission,B,20,20.0,79.0,3,|H_1517>,7.048551002382999e-33
After Emission,emission,B,20,20.0,79.0,4,|V_1517>,3.66541100770087e-33
After Emission,emission,B,21,21.000000000000004,78.00000000000001,0,|vac>,0.9977120347864693
After Emission,emission,B,21,21.000000000000004,78.00000000000001,1,|H_780>,0.0011439826067653292
After Emission,emission,B,21,21.000000000000004,78.00000000000001,2,|V_780>,0.0011439826067653302
After Emission,emission,B,21,21.000000000000004,78.00000000000001,3,|H_1517>,7.922354982470678e-33
After Emission,emission,B,21,21.000000000000004,78.00000000000001,4,|V_1517>,8.07125085102206e-33
After Emission,emission,B,22,22.000000000000004,77.0,0,|vac>,0.997340877221996
After Emission,emission,B,22,22.000000000000004,77.0,1,|H_780>,0.0013295613890021581
After Emission,emission,B,22,22.000000000000004,77.0,2,|V_780>,0.0013295613890021614
After Emission,emission,B,22,22.000000000000004,77.0,3,|H_1517>,6.724334463462583e-33
After Emission,emission,B,22,22.000000000000004,77.0,4,|V_1517>,6.812808042647064e-33
After Emission,emission,B,23,23.0,76.0,0,|vac>,0.9969428243312878
After Emission,emission,B,23,23.0,76.0,1,|H_780>,0.001528587834356488
After Emission,emission,B,23,23.0,76.0,2,|V_780>,0.0015285878343564902
After Emission,emission,B,23,23.0,76.0,3,|H_1517>,6.79321044408253e-33
After Emission,emission,B,23,23.0,76.0,4,|V_1517>,3.3908929655623626e-33
After Emission,emission,B,24,24.000000000000004,75.00000000000001,0,|vac>,0.9965192756042607
After Emission,emission,B,24,24.000000000000004,75.00000000000001,1,|H_780>,0.0017403621978699208
After Emission,emission,B,24,24.000000000000004,75.00000000000001,2,|V_780>,0.001740362197869922
After Emission,emission,B,24,24.000000000000004,75.00000000000001,3,|H_1517>,8.125566886177609e-33
After Emission,emission,B,24,24.000000000000004,75.00000000000001,4,|V_1517>,7.726639090700358e-33
After Emission,emission,B,25,25.000000000000004,74.0,0,|vac>,0.9960720414687275
After Emission,emission,B,25,25.000000000000004,74.0,1,|H_780>,0.001963979265636167
After Emission,emission,B,25,25.000000000000004,74.0,2,|V_780>,0.0019639792656361696
After Emission,emission,B,25,25.000000000000004,74.0,3,|H_1517>,4.06525635217184e-33
After Emission,emission,B,25,25.000000000000004,74.0,4,|V_1517>,1.0519765110028167e-32
After Emission,emission,B,26,26.0,73.0,0,|vac>,0.995603376292479
After Emission,emission,B,26,26.0,73.0,1,|H_780>,0.0021983118537606274
After Emission,emission,B,26,26.0,73.0,2,|V_780>,0.002198311853760627
After Emission,emission,B,26,26.0,73.0,3,|H_1517>,1.892267590876985e-32
After Emission,emission,B,26,26.0,73.0,4,|V_1517>,1.4281248209099888e-32
After Emission,emission,B,27,27.0,72.00000000000001,0,|vac>,0.9951160088929663
After Emission,emission,B,27,27.0,72.00000000000001,1,|H_780>,0.0024419955535169213
After Emission,emission,B,27,27.0,72.00000000000001,2,|V_780>,0.0024419955535169213
After Emission,emission,B,27,27.0,72.00000000000001,3,|H_1517>,4.668568940782563e-33
After Emission,emission,B,27,27.0,72.00000000000001,4,|V_1517>,8.296547787686021e-33
After Emission,emission,B,28,28.000000000000004,71.0,0,|vac>,0.9946131689898383
After Emission,emission,B,28,28.000000000000004,71.0,1,|H_780>,0.0026934155050808723
After Emission,emission,B,28,28.000000000000004,71.0,2,|V_780>,0.00269341550508087
After Emission,emission,B,28,28.000000000000004,71.0,3,|H_1517>,1.199900164233214e-32
After Emission,emission,B,28,28.000000000000004,71.0,4,|V_1517>,4.8387470086657915e-33
After Emission,emission,B,29,29.0,70.0,0,|vac>,0.9940986077115516
After Emission,emission,B,29,29.0,70.0,1,|H_780>,0.0029506961442241223
After Emission,emission,B,29,29.0,70.0,2,|V_780>,0.002950696144224111
After Emission,emission,B,29,29.0,70.0,3,|H_1517>,6.946403326946213e-33
After Emission,emission,B,29,29.0,70.0,4,|V_1517>,7.867809184438849e-33
After Emission,emission,B,30,30.000000000000004,69.00000000000001,0,|vac>,0.9935766099359208
After Emission,emission,B,30,30.000000000000004,69.00000000000001,1,|H_780>,0.0032116950320394133
After Emission,emission,B,30,30.000000000000004,69.00000000000001,2,|V_780>,0.003211695032039413
After Emission,emission,B,30,30.000000000000004,69.00000000000001,3,|H_1517>,2.795669604926537e-32
After Emission,emission,B,30,30.000000000000004,69.00000000000001,4,|V_1517>,5.42309463802385e-33
After Emission,emission,B,31,31.0,68.0,0,|vac>,0.9930519959295776
After Emission,emission,B,31,31.0,68.0,1,|H_780>,0.0034740020352111776
After Emission,emission,B,31,31.0,68.0,2,|V_780>,0.0034740020352111976
After Emission,emission,B,31,31.0,68.0,3,|H_1517>,2.3053378159279994e-32
After Emission,emission,B,31,31.0,68.0,4,|V_1517>,7.839312250875364e-34
After Emission,emission,B,32,32.0,67.0,0,|vac>,0.9925301094862415
After Emission,emission,B,32,32.0,67.0,1,|H_780>,0.003734945256879271
After Emission,emission,B,32,32.0,67.0,2,|V_780>,0.003734945256879282
After Emission,emission,B,32,32.0,67.0,3,|H_1517>,2.609080872797076e-33
After Emission,emission,B,32,32.0,67.0,4,|V_1517>,5.872161154123046e-33
After Emission,emission,B,33,33.00000000000001,66.00000000000001,0,|vac>,0.9920167895917555
After Emission,emission,B,33,33.00000000000001,66.00000000000001,1,|H_780>,0.003991605204122348
After Emission,emission,B,33,33.00000000000001,66.00000000000001,2,|V_780>,0.00399160520412236
After Emission,emission,B,33,33.00000000000001,66.00000000000001,3,|H_1517>,8.032222199005705e-33
After Emission,emission,B,33,33.00000000000001,66.00000000000001,4,|V_1517>,1.1361039389666916e-33
After Emission,emission,B,34,34.0,65.0,0,|vac>,0.9915183226176267
After Emission,emission,B,34,34.0,65.0,1,|H_780>,0.004240838691186704
After Emission,emission,B,34,34.0,65.0,2,|V_780>,0.0042408386911867236
After Emission,emission,B,34,34.0,65.0,3,|H_1517>,6.65935938439993e-33
After Emission,emission,B,34,34.0,65.0,4,|V_1517>,1.2224544569715667e-33
After Emission,emission,B,35,35.0,64.0,0,|vac>,0.9910413722240582
After Emission,emission,B,35,35.0,64.0,1,|H_780>,0.004479313887971096
After Emission,emission,B,35,35.0,64.0,2,|V_780>,0.0044793138879711146
After Emission,emission,B,35,35.0,64.0,3,|H_1517>,1.0528927863302415e-32
After Emission,emission,B,35,35.0,64.0,4,|V_1517>,5.615560913587875e-33
After Emission,emission,B,36,36.00000000000001,63.00000000000001,0,|vac>,0.990592884600302
After Emission,emission,B,36,36.00000000000001,63.00000000000001,1,|H_780>,0.004703557699848936
After Emission,emission,B,36,36.00000000000001,63.00000000000001,2,|V_780>,0.004703557699848967
After Emission,emission,B,36,36.00000000000001,63.00000000000001,3,|H_1517>,1.8309914804327575e-33
